번호,정답
0297,⑤
0298,9/2
0299,3
0300,③
0301,④
0302,2
0303,⑤
0304,√30/15
0305,③
0306,④
0307,10√5π cm
0308,8
0309,③
0310,④
0311,135√15π cm³
0312,6√5 cm²
0313,20√2 cm
0314,4√3 cm
0315,9√2 cm
0316,③
0317,③
0318,⑤
0319,(1)10 cm (2)25/√3 cm²
0320,④
0321,⑤
0322,14
0323,①
0324,①
0325,⑤
0326,√10
0327,(2√3)/3 배
0328,⑤
0329,20
0330,(4√3)/3
0331,2√14 cm², (32√14)/3 cm³
0332,27√3 cm²
0354,-8√10
0355,④
0356,③
0357,⑤
0358,5√2
0359,-2+√6
0360,①
0361,③
0362,27
0363,4
0364,③
0365,18
0366,②
0367,①
0368,-7
0369,②
0370,73
0371,1
0372,-3√2
0373,25√6/12
0374,①③
0375,③
0376,③
0377,④
0378,2
0379,④
0380,-√15/15
0381,①
0382,①
0383,7
0384,2√6-5
0385,√10
0386,③
0387,③
0388,④
0389,④
0390,②
0391,②
0392,(1)3 (2)10
0393,⑤
0394,3-2√5
0395,①
0396,①
0397,③
0398,2
0399,28√2
0400,⑤
0401,60√2 cm³
0402,28√5 cm
0403,√5/2
0404,7+2√13
0405,6+√2
0406,2+5√2
0407,②
0408,⑤
0409,④
0410,④
0411,④
0412,③
0413,③
0414,c<b<a
0415,B
0416,(1)A<B (2)A>C (3)C<A<B
0417,3
0418,⑤
0419,(4+3√2)a
0420,-√10/5
0421,2√33/3
0422,24√2+16
0423,2
0424,④
0425,①
0426,4
0427,2√5
0428,(7+6√2)m²
0429,√5+3, 2-√5
0483,④
0484,4ab+2b²+6a+9b+9
0485,11
0486,-10a²+b²+2ab+2b+30
0487,2
0488,①
0489,⑤
0490,7/2
0491,④
0492,5
0493,17
0494,①
0495,①⑤
0496,3
0497,1/8
0498,⑤
0499,①④
0500,10a²-7ab+5/4 b²
0501,-5
0502,②
0503,2
0504,x⁴-81
0505,⑤
0506,17
0507,24
0508,①
0509,③
0510,8√3
0511,-1
0512,⑤
0513,⑤
0514,④
0515,15x²-25x
0516,10x²-7x-12
0517,③④
0518,④
0519,③
0520,3x²+11x-28
0521,27
0522,④
0523,a²-a-6
0524,16x²+64x-2
0525,⑤
0526,14
0527,6
0528,(ㄱ)
0529,(15a²-8a+1)m²
0530,③
0531,x²-4y²-6x+9
0532,-4
0533,①
0534,1+x⁴+x⁸
0535,x²-y²+z²-w²+2xz-2yw
0536,③
0537,1
0538,63
0539,③
0540,(1)A-4 (2)2020
0541,110
0542,10
0543,⑤
0544,37
0545,40
0546,30+2√15
0547,①
0548,1
0549,②
0550,⑤
0551,4+√15
0552,-2
0553,4
0554,④
0555,②
0556,(1)31 (2)37
0557,②
0558,⑤
0559,③
0560,④
0561,130
0562,34
0563,②
0564,⑤
0565,-√5
0566,28
0567,①
0568,③
0569,⑤
0570,1
0571,-1
0572,②
0573,4√3
0574,9
0575,①
0576,8/3
0577,-20
0578,⑤
0579,①
0580,④
0581,②
0582,5
0583,-1
0584,-128+128√2
0585,-4
0586,①
0587,④
0588,(1)0 (2)1 (3)10
0589,a²
0590,18x²-48x+32-2y²
0591,128
0592,0
0593,45
0594,4+√3
0643,②
0644,④
0645,(ㄱ),(ㄴ),(ㄹ),(ㅁ)
0646,④
0647,④
0648,③
0649,②④
0650,②
0651,2x-3
0652,⑤
0653,③
0654,③
0655,②
0656,③
0657,21
0658,1
0659,②
0660,③
0661,④
0662,8
0663,16/3
0664,⑤
0665,11/2
0666,2x
0667,3b-4
0668,③
0669,①③
0670,21
0671,⑤
0672,2
0673,④
0674,④
0675,①
0676,④
0677,④
0678,2x-2
0679,12
0680,2
0681,4
0682,②④
0683,5
0684,7
0685,5x-1
0686,④
0687,⑤
0688,16
0689,⑤
0690,④
0691,②
0692,④
0693,③
0694,④
0695,-2
0696,6
0697,②
0698,②
0699,(1)x²-6x+8 (2)(x-2)(x-4)
0700,-1
0701,②
0702,⑤
0703,②
0704,③
0705,8x+12y
0706,28x
0707,②
0708,2a+3
0709,x+8
0710,⑤
0711,x²+10x+25
0712,①
0713,2가지
0714,4
0715,②
0716,④
0717,2(x+1)(x-10)
0718,44
0719,4
0720,24
0721,①
0722,4
0723,①
0724,③
0725,2/3
0726,11
0727,3/x
0728,14
0729,n=5, 17
0730,-4
0754,⑤
0755,-8
0756,③⑤
0757,③
0758,②
0759,-8
0760,2x-17
0761,①
0762,-108
0763,(ㄱ),(ㄹ),(ㅁ),(ㅂ)
0764,④
0765,①
0766,2a+6
0767,②
0768,①⑤
0769,(6x+2y-3)(6x-2y+9)
0770,①, 3(3x-2y)(7x-5y)
0771,①
0772,(x²+x+1)(x²+x-3)
0773,④
0774,88
0775,①
0776,②
0777,⑤
0778,①
0779,3
0780,③
0781,③
0782,2x
0783,③
0784,1
0785,③
0786,x-y+4
0787,2
0788,④
0789,⑤
0790,①
0791,2020
0792,①
0793,701
0794,③
0795,③
0796,⑤
0797,③
0798,②
0799,③
0800,120
0801,④
0802,④
0803,④
0804,-10
0805,①
0806,5-2√5
0807,9√5
0808,⑤
0809,135/2 π cm²
0810,700π
0811,6x²+4xy-2
0812,④
0813,2
0814,(x-3y-1)²
0815,2
0816,⑤
0817,5/36
0818,(b-c)(a+b)(a+c)
0819,13
0820,④
0821,①
0822,④
0823,4x+y-5
0824,⑤
0825,3
0826,54
0827,-7+7√5
0828,1/4
0853,③
0854,⑤
0855,1
0856,④
0857,②④
0858,②
0859,x=-1
0860,x=2
0861,④
0862,"a=5, b=3"
0863,35
0864,-2
0865,④
0866,1
0867,⑤
0868,14
0869,5/2
0870,③
0871,13
0872,③
0873,24
0874,④
0875,④
0876,x=-1 또는 x=5/3
0877,3
0878,④
0879,-2
0880,-1
0881,①
0882,"(1)3 (2)4"
0883,③
0884,12
0885,3
0886,15
0887,①
0888,②④
0889,③
0890,6
0891,②
0892,-16
0893,①④
0894,81/2
0895,6
0896,③
0897,x=-2
0898,①
0899,5
0900,-7/2
0901,⑤
0902,6
0903,③
0904,1
0905,④
0906,x=-3 또는 x=1
0907,④
0908,x=0 또는 x=5
0909,-1
0910,3/2
0911,③
0912,-6
0913,②
0914,6
0915,1/18
0916,11
0917,-1
0918,-3≤k<17
0919,3
0920,"(1)-9/2, 11/2 (2)95"
0921,-3/2
0948,④
0949,④
0950,10
0951,20
0952,5
0953,③
0954,④
0955,3
0956,⑤
0957,③
0958,②
0959,3
0960,①
0961,12
0962,①
0963,-1
0964,⑤
0965,①
0966,7
0967,-24
0968,①
0969,34
0970,1
0971,⑤
0972,②
0973,⑤
0974,⑤
0975,2
0976,4/3
0977,6
0978,①
0979,4
0980,-2
0981,③
0982,-8
0983,④
0984,(1+√17)/4
0985,11
0986,"-1, 5"
0987,26
0988,⑤
0989,③
0990,30
0991,③
0992,-4
0993,4
0994,"(1)q≤25/4 (2)4, 6"
0995,3
1015,③⑤
1016,④
1017,①③
1018,③
1019,2
1020,k≤11
1021,①
1022,8
1023,①
1024,⑤
1025,⑤
1026,④
1027,36
1028,③
1029,②
1030,5x²+28x-49=0
1031,③
1032,24
1033,25/2
1034,6
1035,①
1036,x=1 또는 x=2
1037,x²+2x-12=0
1038,⑤
1039,4+√10
1040,5
1041,④
1042,③
1043,11명
1044,"-3, -1"
1045,③
1046,③
1047,182
1048,57
1049,③
1050,63
1051,12
1052,6
1053,③
1054,33
1055,④
1056,5월 18일
1057,③
1058,12
1059,③
1060,2초
1061,"(1)15m (2)3초"
1062,6초
1063,12cm
1064,③
1065,①
1066,12cm
1067,②
1068,7cm
1069,(-8+8√2)cm
1070,25cm²
1071,③
1072,2cm
1073,②
1074,④
1075,3
1076,(6+6√2)π m
1077,③
1078,6초
1079,18cm²
1080,10cm
1081,3cm
1082,②③
1083,2m
1084,③
1085,②
1086,2m
1087,10m
1088,1
1089,④
1090,x=1/4 또는 x=1/3
1091,34
1092,2
1093,①
1094,12초
1095,⑤
1096,-12+6√6
1097,(-3+3√5)cm
1098,③
1099,20cm²
1100,②
1101,6
1102,-5
1103,60
1104,18
1105,(10-2√13)/3 cm
1106,15-3√15
1147,①④
1148,3
1149,④⑤
1150,"(1)y=x²+8x+15 (2)이차함수이다."
1151,④
1152,a≠3
1153,②⑤
1154,10
1155,④
1156,18
1157,1
1158,②
1159,"(1)㉡ (2)㉣ (3)㉠ (4)㉢"
1160,0<a<3/4
1161,③
1162,①
1163,-4/3
1164,②④
1165,"ㄱ, ㄷ"
1166,④
1167,③
1168,"ㄱ, ㄷ"
1169,②⑤
1170,1/2
1171,⑤
1172,1/4
1173,-9
1174,16
1175,3/4
1176,⑤
1177,-8
1178,③
1179,②
1180,⑤
1181,-2/3
1182,9
1183,⑤
1184,②
1185,③
1186,⑤
1187,-2
1188,④
1189,-3
1190,③
1191,31
1192,-3/2
1193,제3사분면
1194,④
1195,①
1196,③
1197,1
1198,1
1199,⑤
1200,-10
1201,⑤
1202,-4
1203,2
1204,4
1205,④
1206,④
1207,⑤
1208,①
1209,③
1210,④
1211,4/9
1212,2/3
1213,1/3
1214,16
1215,y=1/3(x-2)²
1216,③
1217,③
1218,③
1219,49
1220,②
1221,②
1222,25/2
1223,-10
1224,1
1225,3
1226,-1
1227,-8
1228,제3사분면
1256,④
1257,2
1258,-2
1259,55
1260,③
1261,⑤
1262,⑤
1263,9
1264,④
1265,-1
1266,④
1267,4
1268,"(-14, 0)"
1269,"(-4+4√5, 0)"
1270,①
1271,제2사분면
1272,⑤
1273,⑤
1274,④
1275,③
1276,-11/2
1277,1/2
1278,k<-4
1279,②
1280,⑤
1281,3
1282,①
1283,①
1284,"(1, 5/4)"
1285,④
1286,③
1287,"ㄴ, ㄷ"
1288,③
1289,②
1290,3
1291,27
1292,⑤
1293,55/2
1294,6
1295,⑤
1296,③
1297,⑤
1298,④
1299,제2사분면
1300,⑤
1301,⑤
1302,"(0, 3)"
1303,③
1304,①
1305,-1
1306,④
1307,②
1308,④
1309,"(1, 5)"
1310,6
1311,-10
1312,②
1313,-3
1314,2√6
1315,7
1316,②
1317,④
1318,④
1319,①
1320,⑤
1321,②
1322,16
1323,27
1324,-5
1325,y=-3/2x+3
1326,②
1327,②
1328,③
1329,④
1330,1
1331,0
1332,30
1333,"(-2, 4)"
1334,16
1335,0
1336,2
