번호,정답
1193,"(1) y=64/x (2) 8 cm"
1194,③
1195,④
1196,③
1197,제2사분면
1198,"(ㄱ), (ㄴ)"
1199,②
1200,⑤
1201,①
1202,3
1203,④
1204,18
1205,②
1206,③
1207,5
1208,②
1209,④
1210,-8
1211,③
1212,18
1213,15
1214,y=1/3x
1215,24
1216,③
1217,27
1218,100
1219,3
1220,"①, ④"
1221,③
1222,①
1223,⑤
1224,"④, ⑤"
1225,③
1226,"(ㄱ), (ㄴ), (ㄹ)"
1227,③
1228,②
1229,-2
1230,④
1231,"(1) y=1/12x (2) 60 g"
1232,-14/3
1233,21/5
1234,8
1235,"(1) y=4x (2) 90"
1236,"(9, 10)"
1237,③
