번호,정답
442,-15
443,1/25
444,⑤
445,①,교환,②,결합,-14,70
446,-6
447,②
448,⑤
449,7
450,③
451,②
452,-1/4
453,-6
454,⑤
455,1
456,②
457,1
458,12
459,⑤
460,-17
461,36
462,②
463,②
464,②
465,①
466,③
467,②
468,⑤
469,②
470,-84
471,②
472,ㅁ,ㄹ,ㄷ,ㄱ,ㄴ
473,(1),2, (2),7
474,④
475,③
476,-2
477,2
478,6
479,-3/4
480,5/4
481,5/24
482,1/3
483,9/40
484,④
485,⑤
486,①
487,a<0,b<0,c>0
488,④
489,④
490,⑤
491,4점
492,64점
493,③
494,①,11/6,②,11/10,③,14
495,1/6
496,7
497,0
498,①,교환,②,결합,-2,⑥,6
499,D
500,④
501,⑤
502,5800명
503,11
504,④
505,②
506,3
507,③
508,4
509,-21
510,④
511,4/15
512,③
513,-1/6
514,3
515,③
516,6
517,-13/6
518,5
519,-1/3
520,1/10
521,a<0,b<0,c<0,d<0
522,16
523,-1/5
588,"2,5"
589,"3a(b+1)/2 + ac/(7-b)"
590,4
591,4
592,3
593,"(1)2000-200a원;(2)(3/2a+5/4b)원"
594,4
595,"(a+5)h/2"
596,"(1)5/2a+2b;(2)a+ab"
597,2
598,"30a g"
599,"(a/80+2/3)시간"
600,"(1)(2a+3b)g;(2)(2a+3b)/5%"
601,2
602,5
603,-4
604,"(1)0;(2)20"
605,34
606,3
607,3
608,"-8/3"
609,"59°F"
610,3
611,2
612,83.8
613,"(1)(5-0.1x)m;(2)4m"
614,"(1)0.38xkg;(2)19kg"
615,"(1)(9000+180x)원;(2)36000원"
616,"(1)(2x+y)절;(2)13절"
617,4
618,2
619,4
620,3
621,"3,4"
622,4
623,4
624,3
625,17
626,5
627,4
628,3
629,4
630,3
631,"ㄷ,ㄹ"
632,0
633,5
634,-30
635,7
636,4
637,1
638,3
639,"-21x+15"
640,"5/12"
641,2
642,"13/30x+17/30y"
643,19
644,4
645,2
646,0
647,"-3x-12"
648,"2x-11y"
649,3
650,"5/4x+6"
651,"3x-5"
652,1
653,"21x"
654,"(1)4x-4y+10;(2)7x-6y+14"
655,-31
656,3
657,"8x+18"
658,3
659,3
660,"-10x"
661,"2u+2b"
662,-2
663,5
664,"3,4"
665,"(4x+3y)/7점"
666,2
667,"8/3"
668,과체중
669,4
670,2
671,2
672,5
673,-4
674,4
675,1
676,"2,5"
677,8
678,4
679,3
680,"1/2"
681,"3x-11/2"
682,4
683,"(가)2x+5;(나)-x+9;(다)3x-3"
684,"28x+120"
685,-2
686,"26a/25원"
687,204
688,"-6x+2"
689,"(1)11/6x-1;(2)13/6x+4;(3)11/6"
690,3
691,"(1)2x+1;(2)41"
692,"7x+22"
693,"17/12x-5/12"
0721,⑤
0722,②
0723,"①, ④"
0724,③
0725,③
0726,"(1) 6x-3=2x (2) 5x+2=6x-3"
0727,④
0728,④
0729,⑤
0730,x=-3
0731,④
0732,⑤
0733,④
0734,①
0735,-1
0736,④
0737,1
0738,"③, ④"
0739,ㄷ
0740,⑤
0741,㉢
0742,②
0743,①
0744,③
0745,"①, ⑤"
0746,④
0747,-6
0748,"ㄱ, ㄴ, ㅁ"
0749,③
0750,⑤
0751,a≠-3
0752,③
0753,④
0754,12
0755,x=2
0756,①
0757,x=22
0758,③
0759,x=-2
0760,x=2
0761,④
0762,①
0763,⑤
0764,②
0765,21
0766,⑤
0767,19
0768,2
0769,③
0770,②
0771,-1
0772,8/5
0773,x=-8
0774,10
0775,-3
0776,③
0777,1
0778,"1, 3, 5"
0779,17
0780,18
0781,5
0782,⑤
0783,③
0784,-3
0785,⑤
0786,"③, ⑤"
0787,③
0788,"ㄱ, ㄹ"
0789,④
0790,②
0791,④
0792,①
0793,2
0794,③
0795,5
0796,⑤
0797,⑤
0798,③
0799,-17
0800,3
0801,-3
0802,81
0803,1
0804,8
0805,"1, 2, 3"
0806,2
0816,6
0817,3
0818,29
0819,"(1) 3 (2) 17"
0820,③
0821,27
0822,②
0823,"4, 6, 8"
0824,23
0825,①
0826,46
0827,57
0828,16살
0829,①
0830,39살
0831,③
0832,50개월
0833,14주
0834,3000
0835,②
0836,③
0837,6마리
0838,16
0839,"장미: 10송이, 백합: 5송이"
0840,5
0841,2
0842,3
0843,16 m
0844,83
0845,④
0846,③
0847,840
0848,1240
0849,160
0850,352
0851,②
0852,60시간
0853,28명
0854,③
0855,2 km
0856,③
0857,2시간 30분
0858,①
0859,36 km
0860,③
0861,③
0862,1시간
0863,④
0864,20분
0865,"(1) 10분 (2) 800 m"
0866,110분
0867,④
0868,120 g
0869,②
0870,12 %
0871,③
0872,25 g
0873,10 g
0874,7.5 %
0875,②
0876,17
0877,40 g
0878,60 g
0879,60000원
0880,④
0881,11500원
0882,50
0883,6일
0884,5일
0885,16시간
0886,2시간 24분
0887,①
0888,"(1) 7 (2) 36"
0889,339
0890,34단계
0891,19장
0892,22
0893,140 m
0894,④
0895,③
0896,④
0897,38
0898,12일
0899,40 cm
0900,5
0901,378
0902,280
0903,③
0904,6번
0905,"(1) 7500원 (2) 10500원"
0906,6일
0907,⑤
0908,23
0909,41살
0910,25800원
0911,26 km
0912,64/3 %
0913,②
0914,"(1) 5시 27 3/11분 (2) 9시 16 4/11분"
0934,⑤
0935,"A(2, 3), B(-3, 2), C(-4, 0), D(1, -1)"
0936,"(-2, -3), (-2, 3), (2, -3), (2, 3)"
0937,5
0938,-4
0939,②
0940,7
0941,③
0942,④
0943,42
0944,9
0945,5
0946,"③, ④"
0947,④
0948,③
0949,"ㄷ, ㅂ"
0950,제3사분면
0951,④
0952,"①, ⑤"
0953,⑤
0954,③
0955,제2사분면
0956,⑤
0957,"(1) ㄷ (2) ㄴ (3) ㄹ (4) ㄱ"
0958,ㄴ
0959,"(1) ㄱ (2) ㄴ"
0960,④
0961,"(1) 12분 (2) 4분"
0962,ㄱ
0963,"(1) 30 m (2) 2분 (3) 6분"
0964,18
0965,①
0966,-12
0967,16
0968,⑤
0969,④
0970,⑤
0971,16
0972,"①, ⑤"
0973,⑤
0974,"④, ⑤"
0975,제4사분면
0976,③
0977,⑤
0978,70
0979,5
0980,2
0981,제2사분면
0982,31/2
0983,ㄷ
1020,"①, ④"
1021,③
1022,"③, ⑤"
1023,-2
1024,5
1025,ㄱ
1026,-16
1027,②
1028,y=1/4x
1029,y=0.6x
1030,y=1/5x
1031,75쪽
1032,12 kg
1033,1350원
1034,8 cm
1035,①
1036,③
1037,"②, ⑤"
1038,①
1039,④
1040,③
1041,①
1042,1
1043,④
1044,-3/2
1045,3
1046,"①, ⑤"
1047,⑤
1048,⑤
1049,③
1050,-3
1051,4
1052,④
1053,54
1054,7
1055,8/3
1056,③
1057,"①, ④"
1058,"②, ④"
1059,-16
1060,④
1061,1
1062,-11
1063,③
1064,y=150/x
1065,y=300/x
1066,10 cm³
1067,8명
1068,3시간
1069,④
1070,⑤
1071,"ㄱ, ㄷ, ㅁ"
1072,①
1073,"②, ④"
1074,a<-2
1075,③
1076,-1
1077,"(-1, -6)"
1078,8개
1079,⑤
1080,④
1081,⑤
1082,"(1, -6)"
1083,-6
1084,"③, ⑤"
1085,⑤
1086,14
1087,-18
1088,8
1089,4
1090,-32
1091,15/4
1092,7/3
1093,-42
1094,"(1) 8 (2) 2"
1095,4/3
1096,③
1097,③
1098,"①, ⑤"
1099,-8
1100,y=2x
1101,40 L
1102,-3
1103,③
1104,⑤
1105,⑤
1106,"ㄴ, ㄷ"
1107,8
1108,200대
1109,25
1110,12개
1111,"①, ②"
1112,"②, ⑤"
1113,①
1114,12
1115,-8
1116,6
1117,9분
1118,"(1) y=1/20x (2) 60 g"
1119,4/5
1120,1
1121,3/4≤k≤3
1122,9/16
1123,③
